Day of Epi Dt,Rolling Two Week,County Parameter Cum Curve,Confirmed Cases By Epi Dt
"March 29, 2020",,Dane County,15
"March 28, 2020",,Dane County,12
"March 27, 2020",,Dane County,20
"March 26, 2020",,Dane County,14
"March 25, 2020",,Dane County,13
"March 24, 2020",,Dane County,7
"March 23, 2020",,Dane County,22
"March 22, 2020",,Dane County,17
"March 21, 2020",,Dane County,15
"March 20, 2020",,Dane County,15
"March 19, 2020",,Dane County,19
"March 18, 2020",,Dane County,18
"March 17, 2020",,Dane County,25
"March 16, 2020",,Dane County,16
"March 15, 2020",,Dane County,18
"March 14, 2020",,Dane County,17
"March 13, 2020",,Dane County,11
"March 12, 2020",,Dane County,6
"March 11, 2020",,Dane County,6
"March 10, 2020",,Dane County,1
"March 9, 2020",,Dane County,3
"March 8, 2020",,Dane County,0
"March 7, 2020",,Dane County,2
"March 6, 2020",,Dane County,4
"March 5, 2020",,Dane County,0
"March 4, 2020",,Dane County,1
"March 3, 2020",,Dane County,1
"March 2, 2020",,Dane County,1
"March 1, 2020",,Dane County,0
"February 29, 2020",,Dane County,0
"February 28, 2020",,Dane County,1
"February 27, 2020",,Dane County,0
"February 26, 2020",,Dane County,0
"February 25, 2020",,Dane County,0
"February 24, 2020",,Dane County,0
"February 23, 2020",,Dane County,0
"February 22, 2020",,Dane County,0
"February 21, 2020",,Dane County,0
"February 20, 2020",,Dane County,0
"February 19, 2020",,Dane County,0
"February 18, 2020",,Dane County,0
"February 17, 2020",,Dane County,0
"February 16, 2020",,Dane County,0
"February 15, 2020",,Dane County,0
"February 14, 2020",,Dane County,0
"February 13, 2020",,Dane County,0
"February 12, 2020",,Dane County,0
"February 11, 2020",,Dane County,0
"February 10, 2020",,Dane County,0
"February 9, 2020",,Dane County,0
"February 8, 2020",,Dane County,0
"February 7, 2020",,Dane County,0
"February 6, 2020",,Dane County,0
"February 5, 2020",,Dane County,0
"February 4, 2020",,Dane County,0
"February 3, 2020",,Dane County,0
"February 2, 2020",,Dane County,0
"February 1, 2020",,Dane County,0
"January 31, 2020",,Dane County,0
"January 30, 2020",,Dane County,0
"January 29, 2020",,Dane County,1
"January 28, 2020",,Dane County,0
"January 27, 2020",,Dane County,0
"January 26, 2020",,Dane County,0
"January 25, 2020",,Dane County,0
"January 24, 2020",,Dane County,0
"January 23, 2020",,Dane County,0
"January 22, 2020",,Dane County,0
