Day of Epi Dt,County Parameter Cum Curve,Running Sum of Confirmed Cases By Epi Dt,Confirmed Cases By Epi Dt
"July 12, 2020",Dane County,3344,23
"July 13, 2020",Dane County,3448,104
"July 14, 2020",Dane County,3508,60
"July 15, 2020",Dane County,3571,63
"July 16, 2020",Dane County,3631,60
"July 17, 2020",Dane County,3662,31
"July 18, 2020",Dane County,3692,30
"July 19, 2020",Dane County,3715,23
"July 20, 2020",Dane County,3770,55
"July 21, 2020",Dane County,3838,68
"July 22, 2020",Dane County,3892,54
"July 23, 2020",Dane County,3941,49
"July 24, 2020",Dane County,3997,56
"July 25, 2020",Dane County,4031,34
"July 26, 2020",Dane County,4055,24
"July 27, 2020",Dane County,4110,55
"July 28, 2020",Dane County,4180,70
"July 29, 2020",Dane County,4221,41
"July 30, 2020",Dane County,4275,54
"July 31, 2020",Dane County,4306,31
"August 1, 2020",Dane County,4364,58
"August 2, 2020",Dane County,4392,28
"August 3, 2020",Dane County,4455,63
"August 4, 2020",Dane County,4508,53
"August 5, 2020",Dane County,4553,45
"August 6, 2020",Dane County,4601,48
"August 7, 2020",Dane County,4640,39
"August 8, 2020",Dane County,4676,36
"August 9, 2020",Dane County,4703,27
"August 10, 2020",Dane County,4749,46
"August 11, 2020",Dane County,4805,56
"August 12, 2020",Dane County,4855,50
"August 13, 2020",Dane County,4888,33
"August 14, 2020",Dane County,4926,38
"August 15, 2020",Dane County,4956,30
"August 16, 2020",Dane County,4978,22
"August 17, 2020",Dane County,5025,47
"August 18, 2020",Dane County,5077,52
"August 19, 2020",Dane County,5123,46
"August 20, 2020",Dane County,5155,32
"August 21, 2020",Dane County,5203,48
"August 22, 2020",Dane County,5236,33
"August 23, 2020",Dane County,5273,37
"August 24, 2020",Dane County,5334,61
"August 25, 2020",Dane County,5432,98
"August 26, 2020",Dane County,5504,72
"August 27, 2020",Dane County,5590,86
"August 28, 2020",Dane County,5656,66
"August 29, 2020",Dane County,5722,66
"August 30, 2020",Dane County,5804,82
"August 31, 2020",Dane County,5979,175
"September 1, 2020",Dane County,6152,173
"September 2, 2020",Dane County,6359,207
"September 3, 2020",Dane County,6559,200
"September 4, 2020",Dane County,6760,201
"September 5, 2020",Dane County,6897,137
"September 6, 2020",Dane County,7033,136
"September 7, 2020",Dane County,7181,148
"September 8, 2020",Dane County,7503,322
"September 9, 2020",Dane County,7758,255
"September 10, 2020",Dane County,7935,177
"September 11, 2020",Dane County,8097,162
"September 12, 2020",Dane County,8203,106
"September 13, 2020",Dane County,8279,76
"September 14, 2020",Dane County,8479,200
"September 15, 2020",Dane County,8643,164
"September 16, 2020",Dane County,8806,163
"September 17, 2020",Dane County,8946,140
"September 18, 2020",Dane County,9052,106
"September 19, 2020",Dane County,9119,67
"September 20, 2020",Dane County,9179,60
"September 21, 2020",Dane County,9301,122
"September 22, 2020",Dane County,9401,100
"September 23, 2020",Dane County,9459,58
"September 24, 2020",Dane County,9475,16
"September 25, 2020",Dane County,9488,13
